distance_m,altitude_m
10141.5,37.0
10172.2,36.0
10203.6,35.0
10219.5,34.4
10251.5,33.2
10283.3,32.0
10314.9,31.0
10346.2,30.0
10377.2,29.0
10408.5,28.2
10439.8,27.4
10471.5,26.2
10487.5,25.8
10519.7,24.8
10552.1,23.6
10584.6,22.6
10617.4,21.6
10649.8,21.4
10665.6,21.4
10696.1,21.6
10725.6,21.6
10767.9,21.6
10794.7,21.2
10821.5,20.8
10848.8,20.2
10876.7,19.2
10905.6,18.2
10934.8,17.6
10964.2,17.2
10993.6,17.0
11022.6,17.0
11065.5,16.4
11094.0,15.8
11122.3,14.8
11150.3,14.2
11178.2,13.8
11206.1,13.2
11233.8,13.0
11261.7,12.2
11290.2,11.4
11319.4,10.4
11349.4,9.4
11379.4,8.4
11409.8,7.6
11440.8,6.8
11471.8,6.2
11502.2,5.8
11532.2,5.0
11562.9,3.8
11594.4,2.6
11626.5,1.6
11658.7,0.6
11674.9,0.4
11706.7,0.4
11737.5,0.4
11767.3,0.6
11796.2,0.6
11824.8,0.6
11867.0,0.6
11894.7,0.6
11922.0,0.6
11948.9,0.6
11975.4,0.6
12014.8,0.4
12040.5,0.4
12065.8,0.4
12103.2,0.4
12127.6,0.4
12163.5,0.6
12187.0,1.0
12221.4,1.6
12243.7,2.0
12276.3,2.4
12309.0,2.6
12341.8,3.0
12363.8,3.2
12397.0,3.2
12430.6,3.2
12453.0,3.4
12486.1,3.4
12518.8,3.4
12540.6,3.4
12574.1,3.2
12608.3,3.0
12631.9,2.6
12667.8,2.0
12692.3,1.8
12717.1,1.4
12755.1,0.8
12780.7,0.4
12806.4,0.4
12844.6,0.4
12869.9,0.4
12907.5,0.6
12932.7,0.6
12958.1,0.6
12995.8,0.4
13019.5,0.4
13055.2,0.4
13078.9,0.6
13113.3,1.4
13135.4,2.0
13166.8,3.0
13195.3,4.2
13230.8,5.2
13256.3,6.0
13289.1,7.0
13313.7,7.6
13347.4,8.2
13380.9,9.2
13404.6,9.8
13439.4,9.2
13468.5,8.8
